"Nome da instituição/unidade";"Tipo de Logradouro";"Nome do Logradouro";"Número no Logradouro";"Complemento";"Bairro";"CEP";"Estado";"Municipio";"Latitude";"Longitude";"Telefone 1";"Telefone 2";"E-mail ";"Público atendido pela instituição";"A instituição atende algum outro público específico?";"Qual?";"Sexo do público atendido";"Modalidade de internação";;
"FAZDI - Projeto Fazendo a Diferença";"Rua";"Waldemar Loureiro Campos";3468;"Prédio da Igreja Evangélica Cristã Vida em Cristo";"Xaxim";"81650-000";"Paraná";"Curitiba - Paraná";"-25,5101327";"-49,2544038";"(41) 3095-3844";"(41) 3344-6626";"fazdi@terra.com.br";;;;;;;
"FAZDI - Projeto Fazendo a Diferença";"Rua";"Zonardy Ribas";246;;"Boqueirão";"81650-000";"Paraná";"Curitiba - Paraná";"-25,5129612";"-49,2333307";"(41) 3344-6626";"(41) 3082-6686";;"Adultos";"Sim";"Deficientes físicos";"Masculino";"Voluntária - Involuntária";;
"Comunidade Terapêutica Mannain";"Rua";"Nicaraguá";839;"Casa";"Boa Vista Bacacheri";"82510-170";"Paraná";"Curitiba - Paraná";"-25,4034677128";"-49,2421159737";"(41) 9865-1514";;"josuecdecastro@yahoo.com.br";;;;;;;
"Comunidade Hermon";"Rua";"Antônio Muzzillo";314;"casa";"Bacacheri";"82600-270";"Paraná";"Curitiba - Paraná";"-25,3888647";"-49,2189493";"(41) 3532-5278";"(41) 3256-4074";"comunidadehermon@yahoo.com.br";"Crianças";"Sim";"Cadeirante, deficiente mental";"Feminino - Masculino";"Voluntária - Involuntária - Compulsória";;
"Comunidade Terapêutica Projer - Projeto Restauração";"Rua";"Domingos Dalabona";84;"Casa";"Jardim Vriginia";"82300-580";"Paraná";"Curitiba - Paraná";"-25,3841220126";"-49,3330535882";"(41) 3019-1079";;"diretoriaprojer@gmail.com";;;;;;;
"Associação Cristã Mennonitas Lar Betesda";"Rua";"Cristiano Strobel";2010;"Casa";"Xaxim";"81750-000";"Paraná";"Curitiba - Paraná";"-25,5246662236";"-49,2486391061";"(41) 3276-1922";;"larbetesda@larbetesda.com.br";"Idosos";"Sim";"Deficientes em Geral";"Feminino - Masculino";"Voluntária";;
"Lar Betânea";"Rua";"João Miqueletto";401;"sítio";"Alto Boqueirão";"81720-980";"Paraná";"Curitiba - Paraná";"-25,5474376";"-49,240151";"(41) 3378-5763";;"anadebetania@hotmail.com";"Adultos";"Não";;"Feminino - Masculino";"Voluntária";;
"Comunidade Hermon - casa das Moças";"Rua";"Antônio Muzzillo";44;;"Bacacheri";"82600-400";"Paraná";"Curitiba - Paraná";"-25,3894336659";"-49,2197213166";"(41) 3256-4074";;;"Adultos";"Não";;"Feminino";"Voluntária";;
"Clinica Porto Sdeguro";"Rua";"Brigadeiro Franco";3860;;"Rebouças";"80220-100";"Paraná";"Curitiba - Paraná";"-25,4261048334";"-49,2858037942";"(41) 3019-1234";;"atendimento@clinicaportoseguro.com.br";"Adultos";"Não";;"Feminino - Masculino";"Voluntária - Involuntária";;
"C.R.L. Caminho de Retorno ao Lar";"Rua";"Albino Homann";187;;"São Brás";"82310-040";"Paraná";"Curitiba - Paraná";"-25,4201479809";"-49,3574643724";"(41) 3273-5685";"(41) 9924-9827";"contato@caminhoderetornoandarilho.com.br";"Adultos";"Não";;"Masculino";"Voluntária";;
"Casa de Recuperação Água da Vida - CRAVI";"Rua";"José Serrato";55;;"Boa Vista";"82640-320";"Paraná";"Curitiba - Paraná";"-25,3791167";"-49,2379387";"(41) 3356-6100";;"cravi@cravi.org.br";"Adolescentes - Adultos - Idosos";"Não";;"Feminino - Masculino";"Voluntária";;
"Comunidade Emaús";"Rua";"Alcides Gonçalves da Rocha";530;;"Atuba";"82630-090";"Paraná";"Curitiba - Paraná";"-25,3817181219";"-49,2147359841";"(41) 3356-9828";;"com.emaus@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Casa de Apoio Belém";"Rua";"Frederico Heim";52;;"Pillarzinho";"82115-160";"Paraná";"Curitiba - Paraná";"-25,3936595589";"-49,2891082757";"(41) 3235-4052";;"adm@casadeapoiobelem.org.br";;;;;;;
"Associação para a Vida sem Drogas - Comunidade Terapêutica DECISÃO";"Rua";"José de Arimatéia";191;;"Sitio Cercado";"81910-050";"Paraná";"Curitiba - Paraná";"-25,5446475885";"-49,2678651803";"(41) 3634-1030";;"vidasemdrogas@terra.com.br";"Adolescentes - Adultos - Idosos";;;;;;
"Associação Casas do Servo Sofredor - CSS";"Rua";"La Salle";850;;"Pinheirinho";"81880-400";"Paraná";"Curitiba - Paraná";"-25,5341926383";"-49,2933568948";"(41) 3349-1681";;"casasdoservosofredor@gmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Associação do Servo Sofredor - CSS";"Rua";"Pedro Augusto Zimmermann";337;;"Novo";"81925-000";"Paraná";"Curitiba - Paraná";"-25,4921313026";"-49,2970476144";"(41) 3349-1681";;"ddinoo13ster@gmail.com";"Adultos";"Não";;"Feminino";"Voluntária";;
"Precavvida - Centro de Prevençao e Recuperação O Caminho a Verdade e a Vida";"Rua";"Sant`ana";412;;"Jardim Botânico";"80210-070";"Paraná";"Curitiba - Paraná";"-25,4398245805";"-49,2471585267";"(41) 3262-0143";"(41) 3362-4731";;"Adultos";"Sim";"Portadores H.I.V.";"Masculino";"Voluntária";;
"Comunidade Terapêutica Dia";"Rua";"César Misael Chaves";147;;"Taborão";"82130-760";"Paraná";"Curitiba - Paraná";"-25,4938790645";"-49,272520636";"(41) 3095-1990";"(41) 9906-3748";"contato@ctdia.com.br";"Adolescentes - Adultos - Idosos";"Não";;"Feminino - Masculino";"Voluntária";;
"Associação Comunidade Vida Nova";"Rua";"Desembargador Otávio do Amaral";1929;"casa";"Mercês";"80710-620";"Paraná";"Curitiba - Paraná";"-25,4193102";"-49,2996651";"(41) 3335-8991";;;"Adultos";"Não";;"Feminino - Masculino";"Voluntária";;
"ASSOCIAÇÃO CULTURAL ESPIRITUAL MISSÃO PELICANO";"Rua";"PRINCESA ISABEL";"S/N°";;"PARQUE DA GRUTA (NOSSA SENHORA DA ROSA MISTICA)";"87270-000";"Paraná";"Engenheiro Beltrão - Paraná";"-23,8052940589";"-52,2552592559";"(44) 9810-3065";"(44) 9833-4468";"pelicanosnatv@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Casa de Apoio Esperança em Cristo - Masculino";"Rua";"Angela Aparecida Andrade";199;"estrada do bairro Porto Belo";"Porto Belo";"85867-500";"Paraná";"Foz do Iguaçu - Paraná";"-25,4691522";"-54,5872457";"(45) 3526-9004";"(45) 3527-3819";"esperancaemcristo@hotmail.com";"Adultos - Idosos";"Sim";"morador de rua";"Masculino";"Voluntária";;
"Comunidade Terapêutica Sagrada Família Dom Aurélio Olívio Fazza";"Rua";"Angela Aparecida Andrade";1500;;"Jardim Califórnia";"85867-500";"Paraná";"Foz do Iguaçu - Paraná";"-25,4667909";"-54,5987385";"(45) 3575-7286";"(45) 9948-8786";"ctsagradafamília@hotmail.com";"Adultos - Idosos";"Não";;"Masculino";"Voluntária - Involuntária";;
"Casa de Apoio Esperança em Cristo - Feminina";"Rua";"Apolinário de Souza";392;"Atrás do Caique (bairro)";"Porto Meira - Bos Esperança";"85851-000";"Paraná";"Foz do Iguaçu - Paraná";"-25,5747731";"-54,5684345";"(45) 3527-3819";"(45) 3526-9004";"esperancaemcristo@hotmail.com";"Adultos - Idosos";"Sim";"moradores de rua, adolescentes com ordem judicial";"Feminino";"Voluntária";;
"Associação Educacional e Assistencial Bethania";"Estrada";"Geral da Guabiroba";"s/n";;"Santana";"85010-210";"Paraná";"Guarapuava - Paraná";"-";"-";"(42) 3622-7457";;"guarapuava@bethania.com.br";"Adultos - Idosos";;;"Feminino - Masculino";"Voluntária";;
"Obra Social Nossa Senhora da Glória Fazenda Da Esperança Padre Cláudio Romano";"Rua";".";".";"Caixa Postal 1305";".";"86200-000";"Paraná";"Ibiporã - Paraná";"-";"-";"(43) 3158-3444";;"ibipora.m@fazenda.org.br";"Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Comunidade Terapêutica Mannain";"Estrada";"Colônia Nova";"km. 2";"Chácara";"Areia Preta";"84250-000";"Paraná";"Imbaú - Paraná";"-24,4432169822";"-50,7338755617";"(41) 9865-1514";;"josuecdecastro@yahoo.com.br";"Adultos";"Não";;"Masculino";"Voluntária";;
"COFADD - Comunidade Feminina de Assistência às Dependentes de Drogas";"Estrada";"Da Fazenda do Laranjal";"s/n";"km 5";"Água Quente";"86400-000";"Paraná";"Jacarezinho - Paraná";"-23,0997223817";"-49,8314387076";"(43) 3525-1966";"(43) 3525-1020";"caddparana@bol.com.br";"Adolescentes - Adultos - Idosos";"Não";;"Feminino";"Voluntária - Compulsória";;
"CADD - Comunidade de Assistência à Dependência de Drogas";"Estrada";"Padre Herbert";"s/n";"Fazenda Padre Herbert";"Ouro Grande";"86400-000";"Paraná";"Jacarezinho - Paraná";"-23,1424566345";"-49,9166793101";"(43) 3525-1966";"(43) 3525-1020";"caddparana@bol.com.br";"Adolescentes - Adultos - Idosos";"Não";;"Masculino";"Voluntária - Compulsória";;
"Comunidade de Assistência aos Dependentes de Drogas - CADD (Masculino) e COFADD (Feminino)";"Rua";"Heraclio Gomes";1236;"Casa";"Ribas";"86400-000";"Paraná";"Jacarezinho - Paraná";"-23,157431615";"-49,9758595698";"(43) 3525-1966";"(43) 3525-1020";"caddparana@bol.com.br";"Adolescentes - Adultos - Idosos";"Não";;"Feminino - Masculino";;;
"Centro de Prevenção, Tratamento e Recuperação contra Drogas Vale do Ivaí";"Avenida";"Paraná";600;;"centro";"86920-000";"Paraná";"Kaloré - Paraná";"-23,8200736559";"-51,6630794606";"(43) 3453-1215";;"cendrogasvai@hotmail.com";"Adultos";"Não";;;"Voluntária";;
"CERENE - Centro de Recuperação Nova Esperança";"Rua";"Acre";"s/n";"Chácara. Caixa Postal 191";"Marafigo";"83750-000";"Paraná";"Lapa - Paraná";"-25,7753387052";"-49,7378308783";"(41) 3622-8357";;"lapa@cerene.org.br";"Adolescentes - Adultos";"Sim";"Deficientes Físicos";"Masculino";"Voluntária";;
"Comunidade Terapêutica Esquadrão Resgate";"Estrada";"Porto Barreiro";"s/n";;"Passinhos";"85301-240";"Paraná";"Laranjeiras do Sul - Paraná";"-25,4678398782";"-52,4124238033";"(42) 9955-1919";;;"Adolescentes - Adultos - Idosos";"Sim";"deficientes físicos";"Masculino";"Voluntária";;
"Comunidade Terapêutica Esquadrão Resgate";"Rua";"Vereador José Ayres de Oliveira";1370;;"Centro";"85301-240";"Paraná";"Laranjeiras do Sul - Paraná";"-25,4084089";"-52,4060949";"(42) 9955-1919";;;;;;;;;
"Centro de Apoio a Dependentes - Casa de Maria";"Rua";"Araraquara";167;;"Jardim Veraliz";"86015-901";"Paraná";"Londrina - Paraná";"-23,3026086922";"-51,191465032";"(43) 3328-0694";"(43) 3347-1658";"cmaria@sercomtel.com.br";"Crianças - Adolescentes - Adultos - Idosos";"Sim";"HIV, abrigos para crianças e adolescentes";"Feminino - Masculino";"Voluntária - Involuntária - Compulsória";;
"Associação Água Pura - Ambulatório";"Rua";"Guilherme da Mota Correa";3463;;"Jardim shangri-la A";"86010-460";"Paraná";"Londrina - Paraná";"-23,2993069";"-51,1761239";"(43) 3357-4500";"(43) 3344-4500";"contato@aguapura.org.br";"Adolescentes - Adultos - Idosos";"Sim";"crianças vulneráveis - oferecem oficina de informática";"Feminino - Masculino";"Voluntária - Involuntária - Compulsória";;
"Ministério Evangélico Pró Vida - MEPROVI";"Rodovia";"Mabio Gonçalves Palhano";3000;;"Gleba Fazenda Palhano";"86055-585";"Paraná";"Londrina - Paraná";"-23,4219102";"-51,2304781";"(43) 3339-4334";"(43) 3337-2039";"meprovi@gmail.com";"Adolescentes - Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Resgate Ministério de Recuperação de Vidas";"Rua";"Fausto Nicácio Sampaio";115;"Apos TIRO DE GUERRA, uns 200 metros";"Jardim Monte Carlo";"86040-460";"Paraná";"Londrina - Paraná";"-23,3363812";"-51,127265";"(43) 3321-6238";"(43) 9947-1317";"mrv_resgate@hotmail.com";"Adultos - Idosos";"Não";;"Masculino";"Voluntária - Compulsória";;
"Centro Assistência e Recuperação de Vidas M.";"Rua";"Antõnio Belasco";1489;;"Jardim Vale Verde";"86040-010";"Paraná";"Londrina - Paraná";"-23,2936819737";"-51,1686673241";"(43) 3338-9315";"(43) 8401-3896";"contato@moradadedeus.org.br";"Adolescentes - Adultos - Idosos";"Sim";"Encaminhamentos da Prefeitura.";"Feminino - Masculino";"Voluntária";;
"Associação Promocional Londrina Viva";"Rua";"Santo Estevão";70;"No Pátio da Paróquia";"Vila Sian";"86039-310";"Paraná";"Londrina - Paraná";"-23,2959681583";"-51,1720576363";"(43) 3322-1710";"(43) 9993-1712";"prolove33@yahoo.com.br";"Adultos";"Sim";"Moradores de Rua";"Masculino";"Voluntária";;
"Clínica Psiquiatrica de Londrina";"Rua";"Universo";92;"Próx. ao Armazem da Moda";"Jardim Shangrilá-A";"86070-710";"Paraná";"Londrina - Paraná";"-23,2973871496";"-51,1739459114";"(43) 3327-5858";"(43) 3327-1460";"cpl.rh@sercomtel.com.br";"Crianças - Adolescentes - Adultos - Idosos";"Não";;"Feminino - Masculino";"Voluntária - Involuntária - Compulsória";;
"Fundação Vida Para Todos - ABAE";"Estrada";"Municipal Otávio de Jesus Biscaia";"sn";"Chácara - Caixa Postal 013031";"Queimados";"83800-000";"Paraná";"Mandirituba - Paraná";"-25,7834227414";"-49,330891387";"(41) 3626-1202";;"abae@fvida.org.br";"Adultos";"Não";;"Masculino";"Voluntária - Compulsória";;
"Hospital Filadélfia";"Rua";"Mato Grosso";673;;"Centro";"85960-000";"Paraná";"Marechal Cândido Rondon - Paraná";"-24,5697654";"-54,0512916";"(45) 3284-7155";;"afris@afris.org.br";"Adultos";"Não";;;;;
"AFRIS - Associação Friedrich e Ingrun Seyboth";"Rua";"Mato Grosso";640;"C";"Centro";"85960-000";"Paraná";"Marechal Cândido Rondon - Paraná";"-24,5698551";"-54,0509766";"(45) 3284-7100";;"afris@afris.org.br";"Adultos";"Não";;"Feminino - Masculino";"Voluntária - Involuntária - Compulsória";;
"Associação Maringanse de Apoio a Reintegração de Adolescentes/ Amaras - Recanto Mundo Jovem";"Estrada";"Pitanga";"s/n";"lote 176";"Distrito de Iguatemi";"87103-970";"Paraná";"Maringá - Paraná";"-23,3956789";"-51,9579957";"(44) 3276-3840";;"recanto@mundojovem.org.br";"Adolescentes";"Não";;;"Voluntária";;
"Projeto Vida Amparo Social aos Carentes de Maringá";"Avenida";"Pioneiro Antônio Franco de Morais";1321;;"Jardim Paris";"87083-260";"Paraná";"Maringá - Paraná";"-23,4402073572";"-51,976965618";"(44) 3034-8700";;"contato@projetovidamaringa.com.br";;"Sim";"Família";;;;
"Projeto Vida Amparo Social aos Carentes de Maringá";"Sítio";"km 09";"s/n";"KM 9. Gresa termas, saida para Astorga. Ao lado do Pesqueiro Canção";"Zona Rural";"87013-230";"Paraná";"Maringá - Paraná";"-23,3549553426";"-51,8879591941";"(44) 3034-8700";;"contato@projetovidamaringa.com.br";"Adultos";"Não";;"Masculino";"Voluntária";;
"Associação Beneficiente Casa de Nazaré";"Rua";"Rio Samambaia";1691;"Chácara";"Conjunto Itaparica";"87043-400";"Paraná";"Maringá - Paraná";"-23,3937551";"-51,8919128";"(44) 3028-6232";;"casa_de.nazare@yahoo.com.br";"Adolescentes - Adultos";"Não";;"Feminino";"Voluntária";;
"Centro de Recuperação Casa do Oleiro";"Rua";"Affonso Hernandes Bitencourt";1351;"Chácara";"Jardim Cidade Monções";"87060-395";"Paraná";"Maringá - Paraná";"-23,4441181";"-51,9414365";"(44) 3259-2233";;"rcabrazil@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Associação Beneficiente Casa de Nazaré";"Avenida";"São Domingos";798;"Sala 3";"Vila Morangueira";"87040-000";"Paraná";"Maringá - Paraná";"-23,4137671";"-51,9187468";"(44) 3028-6232";;"casa_de.nazare@yahoo.com.br";"Adolescentes - Adultos";"Não";;"Feminino";"Voluntária";;
"Associação Maringá Apoiando a Recuperação de Vidas - MAREV";"Avenida";"Guaiapó";767;"Sobrado amarelo, próximo ao supermercado Bom Demais";"Conjunto Requião";"87047-000";"Paraná";"Maringá - Paraná";"-23,4032331";"-51,8795885";"(44) 3026-2300";"(44) 9118-2747";"marev@marev.com.br";"Adolescentes - Adultos - Idosos";"Sim";"Família (apoio)";"Masculino";"Voluntária - Compulsória";;
"Associação Maringá Apoiando a Recuperação de Vidas - MAREV";"Estrada";"Paulo Guerra";"s/n";"lote 218 próximo de pesqueiro - Recanto de Patmos";"Gleba Ribeirão Sarandi";"87013-230";"Paraná";"Maringá - Paraná";"-23,4008080157";"-51,8618666648";"(44) 3026-2300";"(44) 9118-2752";"marev@marev.com.br";"Adolescentes - Adultos - Idosos";"Não";;"Masculino";"Voluntária - Compulsória";;
"CERTA - Centro de Recuperação de Toxicômanos e Alcoólatras";"Estrada";"Ponta do Tigre";"s/n";"KM 18";"Zona Rural";"87970-000";"Paraná";"Nova Londrina - Paraná";"-22,8149571643";"-52,9796812917";"(18) 8117-8706";"(44) 9934-4764";;"Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Centro de Apoio, Reabilitação e terapia ao Dependente Químico - C. A. R. T. A.";"Fazenda";"Do Senhor Jesus";"S/N";;"Vila Santo Antônio";"85950-000";"Paraná";"Palotina - Paraná";"-24,2876027659";"-53,8385871862";"(44) 9983-9513";;"cartapalotina@hotmail.com";"Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Centro de Apoio, Reabilitação e Terapia ao Dependente Químico - C.A.R.T.A.";"Rua";"Vereador Antônio Pozzan";684;"sala 01";"Centro";"85950-000";"Paraná";"Palotina - Paraná";"-24,2688651";"-53,842763";"(44) 3649-4176";"(44) 9983-9513";"cartapalotina@hotmail.com";"Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Comunidade Milagre Eucarístico";"Estrada";"do Correia Velho";26;"Quadra 05, chácara";"Jardim Eldorado";"83206-365";"Paraná";"Paranaguá - Paraná";"-25,5234633116";"-48,532954513";"(41) 3425-3012";"(41) 8427-2850";"milagreeucaristico@hotmail.com";"Adolescentes";"Não";;"Masculino";"Voluntária - Involuntária - Compulsória";;
"Comunidade Católica Emanuel";"Rua";"Takeshi Mitsuyasu";"s/n";"ao lado da Paróquia Nossa Senhora Aparecida";"Jardim Ipê";"87706-290";"Paraná";"Paranavaí - Paraná";"-23,0868805";"-52,4407206";"(44) 3446-2947";;"c.c.emanuel@hotmail.com";;;;;;;
"Comunidade Católica Emanuel";"Estrada";"do Campo";"s/n";;"Distrito de Sumaré";"87701-010";"Paraná";"Paranavaí - Paraná";"-23,0333008882";"-52,4497768405";"(29) 4744-3446";;"c.c.emanuel@hotmail.com";"Adolescentes - Adultos";"Não";;"Masculino";"Voluntária";;
"Associação Casas do Servo Sofredor";"Rodovia";"PR-218";"s/n";"km 373 - Próximo ao Seminário";"Distrito de Graciosa";"87722-000";"Paraná";"Paranavaí - Paraná";"-23,0858177052";"-52,6098081592";"(44) 3428-1135";"(44) 3428-1201";"acss.paranavai@gmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Centro de Recuperação de Toxicômanos e Alcoólatras de Pato Branco";"Rua";"Goianáses";487;"Unidade não quis informar o endereço da internação.";"Centro";"85501-020";"Paraná";"Pato Branco - Paraná";"-26,2277076";"-52,6693284";"(46) 3242-2341";;"casa.sosvida@hotmail.com";"Adolescentes - Adultos";"Não";;"Masculino";"Voluntária";;
"Comunidade Terapêutica de Recuperação Esperança";"Rua";"Euclides da Cunha";60;"casa";"Vargem Grande";"83321-050";"Paraná";"Pinhais - Paraná";"-25,4473719101";"-49,1756344657";"(41) 3589-3347";"(41) 8755-2339";"tc.cre@gmail.com";;;;;;;
"Hospital Adonia Adauto Botelho";"Rua";"Ivone Pimentel";"1,639";"Hospital";"Parque das Nascentes";"83327-700";"Paraná";"Pinhais - Paraná";"-25,433846803";"-49,1924143653";"(41) 3661-6600";;"sesahaad@sesa.pr.gov.br";"Adultos - Idosos";"Não";;"Feminino - Masculino";;;
"Comunidade Terapêutica de Recuperação Esperança";"Rua";"Walfrido Belão";25;"Chácara";"Capoeira dos Dinos";"83307-300";"Paraná";"Piraquara - Paraná";"-25,4690035631";"-49,0620660539";"(41) 3673-5509";"(41) 8755-2339";"tec.cre@gmail.com";"Adolescentes - Adultos";"Não";;"Masculino";"Voluntária - Compulsória";;
"Comunidade Terapêutica Missão Shalon - Mensageiros do Amor";"Rua";"Tijucas";115;"Chácara";"Santiago";"83307-030";"Paraná";"Piraquara - Paraná";"-25,4439926015";"-49,0701478241";"(41) 3673-2986";"(41) 8330-7030";"contato@missaoshalon.org.br";"Adultos - Idosos";"Sim";"Deficiências físicas leves (pessoas de muleta ou bengala)";"Masculino";"Voluntária";;
"Zion - Missões Urbanas";"Rua";"Tubarão";141;"casa";"Vila Santiago";"83307-050";"Paraná";"Piraquara - Paraná";"-25,4655442652";"-49,0645144402";"(41) 3673-3333";"(41) 8470-2100";"pr.ricardomaciel@gmail.com";"Adultos";"Sim";"Deficiente mental leve";"Masculino";"Voluntária";;
"Esquadrão da Vida de Ponta Grossa";"Rua";"Neci Nunes Ferreira";1500;;"Uvaranas";"84022-000";"Paraná";"Ponta Grossa - Paraná";"-25,0596106";"-50,117254";"(42) 3243-0149";;"esquadraoteen@hotmail.com";"Crianças - Adolescentes";"Sim";"deficientes físicos";"Masculino";"Voluntária - Compulsória";;
"Associação Esquadrão da Vida";"Rua";"Corredor B - Jardim Recreio";42;"lote 42 Chácara Caixa Postal: 512";"Colônia Dona Luiza";"84053-000";"Paraná";"Ponta Grossa - Paraná";"-25,1658103163";"-50,198983";"(42) 9111-7492";"(42) 9111-8112";;"Adultos";"Sim";"deficientes físicos, porém não possuem estrutura para receberem cadeirantes";"Masculino";"Voluntária";;
"Pia União das Irmãs da Copiosa Redenção - CT Antonio Maria";"Rua";"Doralício Correia";357;;"Uvaranas";"84031-190";"Paraná";"Ponta Grossa - Paraná";"-25,1006940674";"-50,1251826973";"(42) 3228-1953";"(42) 3226-1144";"ctrosamistica@hotmail.com";;;;;;;
"Pia União das Irmãs da Copiosa Redenção - CT Lar Dom Bosco";"Rua";"Doralício Correia";357;;"Uvaranas";"84031-190";"Paraná";"Ponta Grossa - Paraná";"-25,1006163422";"-50,1250396462";"(42) 3228-1953";"(42) 3226-1144";"sil_nete@yahoo.com.br";;;;;;;
"Pia União das Irmãs da Copiosa Redenção - CT Lar Santa Terezinha";"Rua";"Doralício Correia";357;;"Uvaranas";"84031-190";"Paraná";"Ponta Grossa - Paraná";"-25,1006940674";"-50,1246963234";"(42) 3228-1953";"(42) 3226-1144";"ctrosamistica@hotmail.com";;;;;;;
"Associação Servas da Misericórdia CT. Pe. Wilton";"Rua";"Br 373";"km 186";;"Uvaia";"84150-000";"Paraná";"Ponta Grossa - Paraná";"-25,0774699126";"-50,3912614913";"(42) 8431-2490";"(42) 9807-0721";"servosdamisericordia@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Centro Jovem de Combate as Drogas - CEJOCOMD";"Distrito";"de Itaiacoca";"s/n";;"Zona Rural";"84020-000";"Paraná";"Ponta Grossa - Paraná";"-25,0936986036";"-50,1637063714";"(42) 9929-5108";;"silmarapg@bol.com.br";"Adultos - Idosos";"Não";;"Masculino";"Voluntária - Compulsória";;
"Pia União das Irmãs da Copiosa Redenção/ Unidade: Comunidade Terapêutica Rosa Mística";"Rodovia";"BR-376";"s/n";"Km 508 - Chácara";"Colônia Dona Luiza - Vila Velha";"84031-150";"Paraná";"Ponta Grossa - Paraná";"-25,1469788074";"-50,150407924";"(42) 3228-1953";"(42) 9911-5924";"ctrosamistica@hotmail.com";"Adolescentes - Adultos";"Sim";"Filhos de internas com até 3 anos, transtornos mentais leves, HIV";"Feminino";"Voluntária";;
"Associação de Apoio a Vida Reviver";"Avenida";"Guaratuba";84;;"Shangrilá";"83255-000";"Paraná";"Pontal do Paraná - Paraná";"-25,6095848";"-48,4215401";"(41) 9873-2184";;;"Adolescentes - Adultos";"Não";;"Masculino";;;
"Assistência Beneficiente Filadélfia";"Rodovia";"BR 376";"Km 142 - S/N°";"Clube de Eventos Amazon";"Vila Rural";"87180-000";"Paraná";"Presidente Castelo Branco - Paraná";"-23,2728156301";"-52,1580048719";"(44) 8403-0136";;"abf_adm@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Núcleo Terapêutico Nova Vida";"Rua";"Capitão João Bley";656;;"Centro";"80620-110";"Paraná";"Rio Negro - Paraná";"-26,1026015782";"-49,7985788093";"(47) 3643-7732";"(47) 9930-9494";"novavida@onda.com.br";"Adultos";"Não";;"Masculino";"Voluntária";;
"Sociedade de Assistência Social e Educacional.";"Rua";"Baumgartem";"S/N";;"Roseira";"80620-110";"Paraná";"Rio Negro - Paraná";"-26,1053377659";"-49,7963472114";"(47) 3642-5307";;"contato@jc1.com.br";"Adultos - Idosos";"Não";;"Feminino";"Voluntária";;
"Sodiedade de Assistência Social e Educacional Fonte de Vida";"Rua";"Cristiano Petterssen";165;;"Bom Jesus";"80620-110";"Paraná";"Rio Negro - Paraná";"-26,0834464722";"-49,7813840614";"(47) 3642-5307";;"contato@jc1.com.br";;;;;;;
"Núcleo Terapêutico Nova Vida";"Rua";"Capitão Jõao Bley";"S/N";"Morro do Benedito - Sítio do Hirt.";"Rural";"83880-000";"Paraná";"Rio Negro - Paraná";"-26,1021776561";"-49,800037931";"(47) 3643-7732";"(47) 9930-9494";"novavida@onda.com.br";"Adultos";"Não";;"Masculino";"Voluntária";;
"Sociedade de Assistência Social e Educacional Fonte de Vida.";"Rua";"Francisco José Lang";606;;"Bom Jesus";"83880-000";"Paraná";"Rio Negro - Paraná";"-26,0919645223";"-49,7925134406";"(47) 3642-5307";;"contato@jc.1com.br";"Adultos";"Não";;"Feminino";"Voluntária";;
"CERVIN - Centro de Recuperação Vida Nova";"Estrada";"do Ema";"s/n";"Sítio do CERVIN - próximo a FACCAR";"Região de Gleba Bandeirantes";"86600-000";"Paraná";"Rolândia - Paraná";"-23,317519786";"-51,4056966495";"(41) 3256-2696";"(43) 3256-2498";"adm@cervin.org.br";"Adolescentes - Adultos";"Não";;"Masculino";"Voluntária - Compulsória";;
"Associação Filantrópica Don Getúlio";"Sítio";"do Salto";"s/n";"Cx. Postal 48";"Centro";"88270-000";"Paraná";"São Jerônimo da Serra - Paraná";"-23,7144855296";"-50,7277629883";"(43) 9149-8092";;;"Adultos";"Não";;"Masculino";"Voluntária";;
"Comunidade Terapêutica Desafio Jovens Vidas para Cristo";"Rua";"Carlos de Paulo Cordeiro";"s/n";"chácara";"Roça Velha";"89115-000";"Paraná";"São José dos Pinhais - Paraná";"-25,6684891632";"-49,1009616661";"(41) 3634-1177";"(41) 9648-8295";"desafiojovemct@gmail.com";"Adolescentes - Adultos";"Não";;"Masculino";"Voluntária";;
"Desafio Jovem Vidas para Cristo";"Rodovia";"B.R. 376";"S/N";"km. 631 - Estrada Roça Velha";"Contenda";"83005-970";"Paraná";"São José dos Pinhais - Paraná";"-25,5541729788";"-49,1876506615";"(41) 3634-1177";;"desafiojovemrp@gmail.com";"Adolescentes - Adultos";"Não";;"Masculino";"Voluntária";;
